rank;id;nisha;domain;test_no_stock;mp_shield;margin_rub;check;weak_field;demand_stab;repeat;speed;logistics;supplier_ru;RAW_SCORE;yellow_flags;penalty;FINAL_SCORE;kommentariy
20;N001;Торговое оборудование (витрины, стеллажи);TRADE_EQUIP;9;9;8;8;7;7;5;5;5;8;7.62;;0;7.62;Габарит + подбор под помещение, поставщики отгружают под заказ
21;N052;Мебельные комплектующие: столешницы, фасады;FURNITURE;9;9;6;6;7;7;10;7;5;9;7.62;;0;7.62;Под заказ по размерам, высокий повтор от мебельщиков
22;N067;Прицепы легковые;AUTO;9;10;10;10;5;5;3;5;3;7;7.58;;0;7.58;Габарит, высокий чек, Авито — основной канал
23;N012;Деревообрабатывающие станки;B2B_EQUIP;9;9;8;8;7;7;5;5;5;7;7.57;;0;7.57;Габарит + консультация, рост частных мастерских
24;N006;Оборудование для автосервиса (подъёмники, стенды);B2B_EQUIP;9;10;10;10;7;7;5;3;3;7;8.02;YF-3;0.5;7.52;Крупногабарит, МП структурно не работает
25;N075;Оборудование для пчеловодства;GARDEN_FARM;9;9;6;6;10;7;10;7;7;7;7.92;YF-2;0.5;7.42;Очень слабое конкурентное поле, расходники дают повтор
26;N015;Компрессоры и пневмооборудование;B2B_EQUIP;9;7;8;6;7;7;7;7;5;8;7.36;;0;7.36;Подбор по производительности, расходники дают повтор
27;N039;Лестницы под заказ;CONSTRUCTION;10;10;10;10;7;5;3;3;3;7;7.86;YF-3;0.5;7.36;Чистая работа под заказ, но длинный цикл и замер
28;N037;Ворота и автоматика;CONSTRUCTION;9;10;10;8;7;7;3;5;3;8;7.83;YF-3;0.5;7.33;Комплект ворота+автоматика, высокий чек
29;N024;Септики и станции биоочистки;ENGINEERING;10;10;10;10;7;7;3;5;5;8;8.31;YF-2,YF-3;1.0;7.31;Габарит, высокий чек, отгрузка от поставщика напрямую
30;N040;Хозблоки, бытовки, модульные строения;CONSTRUCTION;10;10;10;10;5;5;3;5;3;8;7.81;YF-2;0.5;7.31;Авито — основной канал категории, МП невозможен
31;N002;Холодильное оборудование для магазинов и HoReCa;TRADE_EQUIP;7;10;8;8;7;10;5;7;5;7;7.76;YF-3;0.5;7.26;Замена при поломке не откладывается — вынужденный спрос
32;N060;Кухни на заказ (агентская модель);FURNITURE;10;10;10;10;3;5;3;3;7;9;7.76;YF-3;0.5;7.26;Ноль закупки, очень высокий чек, но поле перегрето
33;N030;Вентиляция и рекуператоры;ENGINEERING;9;10;8;8;7;5;5;5;7;7;7.62;YF-3;0.5;7.12;Расчёт по объёму помещений, МП не умеет
34;N028;Печи и камины для дачи и дома;ENGINEERING;9;9;8;8;5;7;5;7;5;8;7.52;YF-2;0.5;7.02;Габарит, сезонный вынужденный спрос
35;N064;Фаркопы, багажники, защита картера;AUTO;9;7;6;6;7;7;5;7;7;8;7.02;;0;7.02;Подбор под модель — МП путает применимость
36;N088;Лазерные станки и ЧПУ для мастерских;PRODUCTION;7;9;10;10;7;5;7;3;5;6;7.5;YF-3;0.5;7.0;Высокий чек, но пусконаладка и обучение клиента
37;N017;Стабилизаторы и ИБП для дома и дачи;ENERGY;9;5;6;6;5;10;5;10;7;8;6.97;;0;6.97;Вынужденный спрос, но товар компактен — МП рядом
38;N004;Оборудование для пекарен;B2B_EQUIP;7;10;10;10;7;5;5;3;3;6;7.41;YF-3;0.5;6.91;Очень высокий чек, но длинный цикл и монтаж
39;N027;Дымоходы и сэндвич-трубы;ENGINEERING;9;10;6;6;7;7;5;7;5;8;7.37;YF-2;0.5;6.87;Комплект под конфигурацию — карточка МП не справляется
40;N038;Металлоконструкции под заказ (навесы, каркасы);CONSTRUCTION;10;10;10;10;7;5;3;3;3;7;7.86;YF-2,YF-3;1.0;6.86;Закупки нет вообще — производство под заказ
41;N029;Банное оборудование (печи, каменки, купели);ENGINEERING;9;9;8;8;5;5;5;5;5;8;7.22;YF-2;0.5;6.72;Высокий чек, но спрос ближе к отложенному
42;N007;Оборудование для шиномонтажа;B2B_EQUIP;9;10;8;8;7;7;5;5;3;7;7.62;YF-2,YF-3;1.0;6.62;Сезонный триггер открытия точек
43;N083;Лодки и катера;SPORT_HOBBY;9;10;10;10;5;5;3;5;3;7;7.58;YF-2,YF-4;1.0;6.58;Габарит и высокий чек, но сильное давление б/у
44;N079;Вольеры и будки для крупных собак;PETS;10;10;6;6;7;5;3;5;3;8;7.01;YF-2;0.5;6.51;Под заказ по размерам, габарит
45;N084;Лодочные моторы и запчасти;SPORT_HOBBY;7;7;8;8;5;7;7;7;7;6;7.0;YF-2;0.5;6.5;Подбор + расходка, но гарантия и сезон
46;N054;Мебель по индивидуальным размерам (шкафы);FURNITURE;10;10;10;10;5;5;3;5;5;8;7.91;YF-3,YF-1;1.5;6.41;Подтверждённо сильная категория Авито (S17), но поле конкурентное
47;N036;Заборы и ограждения;CONSTRUCTION;9;10;8;8;7;5;3;5;3;9;7.38;YF-2,YF-3;1.0;6.38;Расчёт под периметр, габарит, сильная локальная конкуренция
48;N014;Сварочное оборудование профессиональное;B2B_EQUIP;9;5;6;6;5;7;7;7;7;8;6.66;YF-1;1.0;5.66;Проф-сегмент защищён лучше бытового, но МП рядом
49;N041;Теплицы и поликарбонат;GARDEN_FARM;9;9;6;6;5;7;3;7;5;9;6.93;YF-2,YF-1;1.5;5.43;Жёсткий сезонный триггер, поле уже освоено
50;N071;Садовая техника (мотоблоки, культиваторы);GARDEN_FARM;9;7;6;6;5;7;5;7;5;8;6.72;YF-2,YF-1;1.5;5.22;Сезонный триггер, но МП и сети рядом
