rank;nisha_id;tovar;pokupatel;chek_ocenka;marzha_ocenka_rub;chastota;sezonnost;konkurenciya;avito_potencial;wb_ozon;logistika;pod_zakaz;komissiya;risk;b_bez_zakupki;b_zashchita_ot_MP;b_marzha;b_chek;b_skorost;SCORE
15;N055;Барные стойки и ресепшн под заказ;Кафе, салон, офис;60-200 тыс;15-50 тыс;разово;низкая;низкая;очень высокий;невозможно;ТК;да;да;замер обязателен;10;10;10;10;3;8.95
16;N055;Комплексное оснащение зала под ключ (агентская);Открывающееся заведение;200-800 тыс;30-120 тыс;разово;низкая;низкая;очень высокий;невозможно;координация;да;да;ответственность за всех подрядчиков;10;10;10;10;3;8.95
17;N087;Ринг или октагон;Клуб, промоутер;150-400 тыс;30-90 тыс;раз в 7-10 лет;низкая;очень низкая;очень высокий;отсутствует;ТК крупногабарит;да;да;очень узкий спрос;10;10;10;10;3;8.95
18;N057;Мезонин складской;Склад с высокими потолками;200-500 тыс;40-110 тыс;разово;круглый год;низкая;очень высокий;невозможно;ТК + монтаж;да;да;монтаж обязателен, длинный цикл;10;10;10;10;3;8.95
19;N059;Диван по размерам проёма;Частное лицо после ремонта;50-150 тыс;10-35 тыс;раз в 7-10 лет;круглый год;высокая;очень высокий;невозможно;ТК крупногабарит;да;да;плотное поле, рекламации по ткани;10;10;8;10;5;8.85
20;N089;Комплект для школы или студии творчества;Образовательное учреждение;60-200 тыс;12-45 тыс;разово;август-сентябрь;низкая;высокий;слабо;ТК;да;да;возможны бюджетные процедуры;9;9;10;10;5;8.75
21;N089;Апгрейд производства: второй пресс, широкий формат;Действующее производство;80-250 тыс;15-55 тыс;раз в 3-5 лет;круглый год;низкая;высокий;слабо;ТК;да;да;узкий круг клиентов;9;9;10;10;5;8.75
22;N089;ДТФ-печать: принтер + шейкер (комплект);Производство мерча;150-400 тыс;30-90 тыс;раз в 5-7 лет;круглый год;низкая;очень высокий;отсутствует;ТК;да;да;высокий чек - длиннее цикл;9;10;10;10;3;8.7
23;N077;Оборудование для переработки молока (мини-цех);КФХ с переработкой;150-500 тыс;30-100 тыс;разово;круглый год;низкая;очень высокий;отсутствует;ТК;да;да;длинный цикл, сертификация у клиента;9;10;10;10;3;8.7
24;N089;Комплект старт печати на футболках под ключ + обучение;Начинающее микропроизводство;80-150 тыс;15-35 тыс;разово;осень-зима;низкая;очень высокий;частично;ТК;да;да;клиент бросит без поддержки;9;9;8;10;7;8.65
25;N022;Комплект обезжелезивания для скважины;Владелец частного дома;45-90 тыс;8-20 тыс;раз в 7-10 лет;круглый год;средняя;высокий;слабо представлено;ТК, 40-80 кг;да;да;ошибка подбора без анализа воды;9;10;8;8;7;8.6
26;N022;Умягчитель воды для дома с жёсткой водой;Частный дом, коттедж;30-70 тыс;6-15 тыс;раз в 7-10 лет;круглый год;средняя;высокий;слабо;ТК;да;да;нужен анализ жёсткости;9;10;8;8;7;8.6
27;N022;Система от сероводорода (запах тухлых яиц);Скважина с сероводородом;40-80 тыс;8-18 тыс;раз в 7-10 лет;круглый год;низкая;очень высокий;отсутствует;ТК;да;да;узкая проблема - меньше спроса;9;10;8;8;7;8.6
28;N057;Комплект грузовых стеллажей под помещение;Склад, ПВЗ;40-150 тыс;8-35 тыс;раз в 7-10 лет;круглый год;средняя;очень высокий;слабо;ТК крупногабарит;да;да;расчёт нагрузки - ответственность;10;10;8;8;5;8.55
29;N055;Стулья и столы для столовых и школ;Столовая, соцобъект;40-200 тыс;8-40 тыс;раз в 5-7 лет;август-сентябрь;средняя;высокий;частично;ТК;да;да;возможны закупки по 44-ФЗ - не наш формат;10;9;10;8;3;8.4
30;N089;Принтер с СНПЧ под сублимацию + профили;Микропроизводство;30-120 тыс;6-25 тыс;раз в 5 лет;круглый год;низкая;очень высокий;слабо;ТК;да;да;настройка цветопередачи;9;9;8;8;7;8.35
31;N099;Вакуумный упаковщик для производства;Пищевое микропроизводство;30-90 тыс;6-20 тыс;раз в 5 лет;круглый год;низкая;высокий;слабо;ТК;да;да;санитарные требования у клиента;9;9;8;8;7;8.35
32;N099;Термоусадочная машина для штучного товара;Производство, фасовка;40-120 тыс;8-28 тыс;раз в 5-7 лет;круглый год;низкая;высокий;слабо;ТК;да;да;подбор под размер товара;9;9;8;8;7;8.35
33;N077;Доильный аппарат для 5-20 голов;КФХ, ЛПХ;40-120 тыс;8-28 тыс;раз в 5-7 лет;круглый год;низкая;высокий;слабо;ТК;да;да;сервис критичен;9;9;8;8;7;8.35
34;N022;Сервис: замена картриджей и обслуживание по договору;Клиент после покупки системы;4-10 тыс/год;3-8 тыс;2 раза в год;круглый год;низкая;высокий;невозможно на МП;услуга;да;да;нужен выезд или партнёр;10;10;6;4;10;8.3
35;N055;Барные стулья партией от 10 шт;Бар, кофейня;30-90 тыс;6-20 тыс;раз в 3-5 лет;низкая;средняя;высокий;частично;ТК;да;да;износ, рекламации;10;9;8;8;5;8.3
36;N055;Уличная мебель для террас (влагостойкая);Кафе, база отдыха;40-150 тыс;10-35 тыс;раз в 3-5 лет;весна;средняя;высокий;частично;ТК;да;да;сезон;10;9;8;8;5;8.3
37;N055;Комплект стол + 4 стула для кафе;Владелец кафе;25-60 тыс;5-14 тыс;раз в 3-5 лет;низкая;средняя;высокий;слабо;ТК крупногабарит;да;да;сроки цеха;10;10;8;6;5;8.25
38;N055;Мягкие банкетки и пуфы партией;Кафе, салон красоты;20-80 тыс;5-20 тыс;раз в 3-5 лет;низкая;средняя;высокий;частично;ТК;да;да;-;10;9;8;6;5;8.0
39;N022;УФ-обеззараживание воды;Дом с бактериологией в воде;15-40 тыс;4-10 тыс;раз в 5-7 лет;круглый год;низкая;высокий;слабо;Авито Доставка;да;да;требует анализа на микробиологию;10;9;6;6;7;7.9
40;N022;Насос дозирующий + реагентная станция;Дом со сложной водой;25-60 тыс;5-14 тыс;раз в 7 лет;круглый год;низкая;высокий;отсутствует;ТК;да;да;сложная настройка;9;10;6;8;5;7.9
41;N055;Столешницы HPL и массив под размер;Кафе, ресторан;8-40 тыс/шт;2-10 тыс;раз в 3-5 лет;низкая;средняя;высокий;слабо;ТК;да;да;бой при доставке;10;9;6;6;7;7.9
42;N089;Пресс для кепок и нестандартных форм;Мастерская с расширением;20-50 тыс;4-12 тыс;раз в 5 лет;круглый год;низкая;высокий;слабо;ТК;да;да;узкий спрос;10;9;6;6;7;7.9
43;N089;Плоттер режущий для плёнки;Мастерская наклеек и мерча;25-80 тыс;5-18 тыс;раз в 5-7 лет;круглый год;средняя;высокий;частично;ТК;да;да;обучение работе с ПО;9;7;8;8;7;7.85
44;N059;Кровать с мягким изголовьем под размер;Спальня нестандартная;40-120 тыс;8-28 тыс;раз в 10 лет;круглый год;высокая;высокий;частично;ТК;да;да;конкуренция;10;7;8;8;5;7.8
45;N089;Термопресс планшетный 38х38;Мастерская, студия;15-40 тыс;3-9 тыс;раз в 5 лет;круглый год;средняя;высокий;представлено;Авито Доставка;да;да;есть на МП дешевле;10;5;6;6;10;7.35
46;N022;Анализ воды + подбор системы (как отдельный оффер);Кто не знает, что покупать;0-3 тыс;0 (лид-магнит);разово;круглый год;почти нет;очень высокий;невозможно на МП;услуга;да;да;не продажа, а вход в воронку;10;10;2;2;10;7.2
47;N022;Годовой комплект расходников (картриджи, соль, реагент);Действующий владелец системы;3-12 тыс;1-4 тыс;2 раза в год;круглый год;средняя;высокий;частично;Авито Доставка;да;нет;низкий чек, но максимальный повтор;10;7;4;4;10;7.15
48;N022;Комплект для дачи: грубая очистка + питьевой узел;Дачник со скважиной;15-35 тыс;4-9 тыс;раз в 5-7 лет;весна-осень;средняя;высокий;частично;ТК;да;да;сезонность;9;7;6;6;7;7.15
49;N089;Термопресс для кружек и сувениров;Сувенирная мастерская;12-30 тыс;3-7 тыс;раз в 5 лет;осень-зима;средняя;высокий;представлено;Авито Доставка;да;да;сезон подарков;10;5;6;4;10;7.05
50;N087;Боксёрские мешки и подвесная система;Зал, домашний спорт;8-30 тыс;2-8 тыс;раз в 3-5 лет;январь, сентябрь;средняя;высокий;представлено;ТК;да;да;есть на МП;10;5;6;6;7;6.9
51;N057;Архивные и полочные стеллажи для офиса;Офис, аптека, магазин;15-60 тыс;3-14 тыс;раз в 7 лет;круглый год;высокая;средний;сильно;ТК;да;да;конкуренция с МП;10;5;6;6;7;6.9
52;N099;Настольный запайщик пакетов;Фасовщик, цех;8-25 тыс;2-6 тыс;раз в 3-5 лет;круглый год;средняя;высокий;представлено;Авито Доставка;да;да;есть на МП;10;5;4;4;10;6.65
53;N097;Гидравлическая тележка (рохля) 2-3 т;Склад, ПВЗ, магазин;25-45 тыс;5-11 тыс;раз в 3-5 лет;круглый год;средняя;высокий;частично;ТК;частично;да;срочность требует наличия;5;7;6;6;10;6.6
54;N022;Осмос для питьевой воды с минерализатором;Квартира, семья с детьми;12-30 тыс;3-7 тыс;раз в 5 лет;круглый год;высокая;средний;сильно;Авито Доставка;да;нет;МП дешевле;10;3;6;4;10;6.55
55;N089;Расходка помесячно: бумага, чернила, плёнка;Действующий клиент;3-15 тыс;1-4 тыс;ежемесячно;круглый год;средняя;высокий;частично;Авито Доставка;да;нет;низкий чек, максимальный повтор;7;7;4;4;10;6.4
56;N022;Картриджная система под мойку + годовой запас;Квартира, дача;8-20 тыс;2-5 тыс;раз в 3-5 лет;круглый год;высокая;средний;сильно представлено;Авито Доставка;да;нет;прямая конкуренция с МП;10;3;4;4;10;6.15
57;N089;Заготовки под печать (футболки, кружки, чехлы);Действующий клиент;5-30 тыс;1-8 тыс;ежемесячно;круглый год;высокая;средний;сильно;Авито Доставка;да;нет;прямая конкуренция с МП;7;3;4;6;10;5.7
58;N097;Ремкомплекты и колёса для складской техники;Действующий клиент;2-8 тыс;0.5-2 тыс;несколько раз в год;круглый год;средняя;высокий;частично;Авито Доставка;да;нет;низкий чек;7;7;2;2;10;5.7
59;N099;Расходка: плёнка, скотч, пакеты помесячно;Действующий клиент;3-15 тыс;0.5-3 тыс;ежемесячно;круглый год;высокая;средний;сильно;ТК;частично;нет;низкая маржа, требует остатка;5;3;2;4;10;4.5
