tovar_id;postavshchik;tip;geografiya;chto_izvestno;dilerstvo_zayavleno;MOQ;zakupochnaya_cena;obraztsy;testovaya_partiya;OEM_ODM;chto_sprosit
T03;Prom-water;инжиниринг;Россия;Промышленные системы водоподготовки;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T08;Завод Экомет;завод;Россия;Проектирует и производит стеллажи, стеллажные системы, металлическую мебель. Отдельный раздел стеллажей для ПВЗ;опт заявлен;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T08;Steller;завод;Новосибирск, Иркутск, Омск, Екатеринбург, Тюмень;Металлические стеллажи оптом, отдельная страница /newdealer/;ДА, публично;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T08;Maksteel;завод;Москва;Металлические стеллажи и шкафы от производителя, изготовление на заказ, опт;опт заявлен;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T08;Pro Стеллаж;завод;Россия;Российский производитель и поставщик металлической мебели;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T08;Опытный завод Микрон;завод;Россия;Торговые и складские стеллажи;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T08;Горторгснаб / ГТС;дистрибьютор;Москва, СПб;Стеллажи для ПВЗ от производителя, широкий склад;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T08;Стелком;производитель;Москва;Стеллажи для ПВЗ по ценам от производителя;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T08;Стел-Тех;производитель;Москва;Стеллажи для ПВЗ;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T08;ТехСторидж;дистрибьютор;Москва, СПб;Стеллажи для ПВЗ;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T08;Солос;производитель;Россия;Стеллажи под техтребования маркетплейсов;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T08;Невилон;производитель;Россия;Стеллажи для ПВЗ, методические материалы по требованиям площадок;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T08;ProductCenter: каталог стеллажей;агрегатор заводов;Россия;50 отечественных изготовителей складских стеллажей, явная пометка «Ищем дилеров»;ДА, публично;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T06;OXLIFT;завод;Россия, с 2015;Представительство завода складской техники;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T06;VIOMAX;завод;Россия, с 2001;Производит подъёмно-транспортное оборудование с 2001 года;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T06;ZavSklad / КвадроПресс;завод;Воронеж;Электрические штабелёры и гидравлические тележки;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T06;Грузовая механика;дистрибьютор;Москва;SYC SIBLINE 1 т, цены от 62 000 руб;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T06;МД-Прогресс;дистрибьютор;Москва;Штабелёры от 39 100 руб с НДС;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T06;Ангара Групп;дистрибьютор;Россия;Tisel HSW 1016, заявлены цены дилера;дилерские цены заявлены;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T06;КИИТ;дистрибьютор;Москва + сеть;Штабелёры 1 т, развитая дилерская сеть по городам;ДА, сеть;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T06;ГТС-СПб;дистрибьютор;СПб;Штабелёры;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T06;Tisel Technics;дистрибьютор;Россия;Заявлены цены дилера с доставкой по РФ;дилерские цены заявлены;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T06;Shtabeler.ru;дистрибьютор;Москва;Новая и б/у складская техника;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T06;ProductCenter: каталог штабелёров;агрегатор заводов;Россия;Российские производители штабелёров, прямые оптовые продажи без посредников;ДА, публично;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T06;ProductCenter: складское оборудование;агрегатор заводов;Россия;110 производителей, каталог 2026, пометка «Ищем дилеров»;ДА, публично;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T01;Сублимарт;дистрибьютор;Москва;Заявлен как крупнейший поставщик сувенирной продукции для сублимации в РФ, опт;опт заявлен;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T01;Sublimagia;дистрибьютор;Россия;Товары для сублимации и термопереноса оптом;опт заявлен;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T01;Gifttec;дистрибьютор;Россия;Сублимационное оборудование оптом и в розницу;опт заявлен;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T01;RDMKit;дистрибьютор;Москва + регионы;Термопресс STANDART 38x38 - 46 309 руб, каталог сувенирки;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T01;Технопринт;дистрибьютор;Москва;Термопрессы и ДТФ, доставка по РФ;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T01;INKSYSTEM;дистрибьютор;Россия;Готовые комплекты: планшетный пресс 38x38 + Epson + чернила;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T01;Masterton / РуссКом;дистрибьютор;Россия;Термопрессы;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T01;Vegasd;дистрибьютор;Россия;Термопрессы: пневмо, гидравлика, 3D-вакуум;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T01;MySub;дистрибьютор;Россия;Плоские термопрессы для текстиля, металла, керамики;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T01;ForOffice;ритейлер;Россия;Оборудование для сублимации, широкий прайс;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T01;Forsign;дистрибьютор;Россия;Комплекты термотрансфера в сборе;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T04;СКМ Мебель;распиловщик;Россия;Опубликованный прайс на услуги распила;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T04;ДСП-Комплект;распиловщик;Россия;Распил ДСП и ЛДСП по размерам заказчика, цена за кв. метр;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T04;MR5;производитель мебели + распил;СПб;Распил ЛДСП по размерам;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T04;Lamplit Group;распиловщик;Россия;Распил ЛДСП, фанеры, МДФ, столешниц;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
