id;nisha;domain;opisanie;tip_klienta;sredniy_chek_ocenka_rub;chastota_pokupki;sezonnost;predvaritelnyy_potencial;pochemu_interesna;glavnye_riski;test_bez_zakupki;predvaritelnyy_red_flag
N033;Утеплители и изоляция;CONSTRUCTION;Минвата, ППС, напыление;B2C/B2B;10000-80000;раз в 10 лет;весна-осень;низкий;Массовый спрос;Огромный объем при низкой цене - нужен склад;нет;RF-10
N034;Кровельные материалы и комплектующие;CONSTRUCTION;Металлочерепица, профлист, доборы;B2C/B2B;40000-250000;раз в 15-20 лет;весна-осень;средний;Высокий чек, расчет под объект;Резка под размер, доставка, сильные локальные игроки;частично;-
N035;Фасадные системы и сайдинг;CONSTRUCTION;Отделка фасадов;B2C;40000-200000;раз в 15 лет;весна-осень;средний;Расчет под объект;Габарит, локальные поставщики, сезон;частично;YF-2
N036;Заборы и ограждения (профлист, 3D-сетка, штакетник);CONSTRUCTION;Ограждение участков;B2C;30000-150000;раз в 10-15 лет;весна-осень;высокий;Расчет под периметр, габарит, МП не работает;Сезонность, монтаж, локальная конкуренция;да - под заказ;YF-2
N037;Ворота и автоматика для ворот;CONSTRUCTION;Откатные, распашные, секционные;B2C;40000-200000;раз в 10-15 лет;весна-осень;высокий;Габарит, подбор комплекта, высокий чек;Монтаж, сезон;да - под заказ;YF-3
N038;Металлоконструкции под заказ (навесы, каркасы);CONSTRUCTION;Изготовление по размерам;B2C/B2B;50000-300000;разово;весна-осень;высокий;Чистая работа под заказ - закупки нет вообще, высокий чек;Зависимость от подрядчика, монтаж, сроки;да - идеально;YF-2
N039;Лестницы металлические и деревянные под заказ;CONSTRUCTION;Изготовление по проему;B2C;60000-300000;разово;круглый год;средний;Под заказ без склада, высокий чек;Замер, монтаж, длинный цикл;да;YF-3
N040;Хозблоки, бытовки, модульные строения;CONSTRUCTION;Готовые строения под ключ;B2C/B2B;80000-400000;разово;весна-осень;высокий;Авито - основной канал, габарит, МП не работает;Доставка манипулятором, сезонность;да - под заказ;YF-2
N041;Теплицы и поликарбонат;GARDEN_FARM;Дачные теплицы, каркасы;B2C;20000-80000;раз в 7-10 лет;февраль-май;высокий;Габарит, ярко выраженный сезонный триггер;Узкое сезонное окно, локальные производители;да;YF-2
N042;Дачная инфраструктура (душ, туалет, емкости для воды);GARDEN_FARM;Готовые изделия для участка;B2C;10000-60000;раз в 5-10 лет;апрель-июль;средний;Габарит, сезонный спрос;Сезон, объем;да;YF-2
N043;Емкости и резервуары пластиковые (еврокубы, баки);GARDEN_FARM;Хранение воды, ГСМ, химии;B2C/B2B;8000-60000;раз в 5-10 лет;весна-лето;средний;Габарит, B2B и дача;Объем, склад, низкая маржа на б/у;частично;-
N044;Строительный инструмент профессиональный;CONSTRUCTION;Перфораторы, УШМ, лазеры;B2B/B2C;15000-80000;раз в 2-4 года;низкая;средний;Подбор, повтор через расходку;Сильная конкуренция МП, бренды, гарантия;да;RF-6, RF-9
N045;Аренда строительного инструмента;CONSTRUCTION;Прокат оборудования;B2C/B2B;1500-8000 за период;регулярно;весна-осень;средний;Нет закупки при агентской схеме, повтор;Это услуга не товар, нужен парк, логистика;частично;-
N046;Опалубка и оснастка для бетонных работ;CONSTRUCTION;Щиты, стойки, аренда;B2B;30000-200000;проектно;весна-осень;средний;B2B, габарит, аренда дает повтор;Вес, парк оборудования, сезон;частично;-
N047;Строительные леса и вышки-туры;CONSTRUCTION;Продажа и аренда;B2B/B2C;25000-150000;проектно;весна-осень;средний;Габарит, аренда и продажа;Вес, парк, сезон;частично;YF-2
N048;Такелаж, стропы, грузоподъемное оснащение;LOGISTICS_PACK;Стропы, тали, лебедки;B2B;5000-60000;регулярно;низкая;средний;B2B-повтор, подбор по нагрузке;Сертификация испытаний, ответственность;да;RF-2
N049;Электрощитовое оборудование и автоматика;ENGINEERING;Щиты, автоматы, УЗО, сборка;B2C/B2B;10000-80000;раз в 10-15 лет;низкая;средний;Сборка щита под проект - МП не умеет, B2B;Электробезопасность, ответственность;да;RF-2
N050;Промышленное и уличное освещение;ENERGY;Светильники для складов, улиц, объектов;B2B;15000-150000;раз в 7-10 лет;осень;высокий;B2B-партии, расчет освещенности, МП неудобен;Расчет, конкуренция производителей;да;-
N051;Мебельная фурнитура (петли, направляющие, механизмы);FURNITURE;Комплектующие для мебельщиков;B2B;3000-30000;ежемесячно;низкая;высокий;Очень высокий повтор, B2B, компетенция уже есть;Низкий чек, склад ассортимента, конкуренция;частично;-
N052;Мебельные комплектующие: столешницы, фасады;FURNITURE;Распил, кромка, фасады под заказ;B2B/B2C;8000-60000;регулярно;низкая;высокий;Работа под заказ, габарит, есть компетенция;Резка под размер, доставка, брак;да - под заказ;-
N053;Механизмы трансформации и каркасы для мягкой мебели;FURNITURE;Комплектующие для производителей;B2B;5000-40000;регулярно;низкая;высокий;B2B-повтор, компетенция в мебели, МП не работает;Узкий круг клиентов, вес;да;-
N054;Мебель по индивидуальным размерам (шкафы, гардеробные);FURNITURE;Изготовление под проем;B2C;40000-200000;разово;низкая;очень высокий;Подтверждено как сильная категория Авито, под заказ без склада;Замер, монтаж, зависимость от цеха;да - идеально;YF-3
N055;Мебель для HoReCa (столы, стулья, диваны для кафе);FURNITURE;Оснащение заведений;B2B;40000-300000;раз в 3-5 лет;низкая;высокий;B2B-партии, габарит, под заказ;Длинный цикл, зависимость от открытий;да - под заказ;-
N056;Офисная мебель новая и б/у;FURNITURE;Оснащение офисов;B2B;20000-200000;раз в 5-7 лет;осень;средний;Габарит, B2B, б/у-оборот;Демпинг б/у, вывоз, склад;частично;YF-4
N057;Складские стеллажи и мезонины;LOGISTICS_PACK;Оснащение складов;B2B;40000-400000;раз в 7-10 лет;низкая;высокий;Расчет под помещение, габарит, B2B-счета;Монтаж, вес, длинный цикл;да - под заказ;-
N058;Матрасы и основания;FURNITURE;Спальные системы;B2C;15000-80000;раз в 7-10 лет;низкая;средний;Габарит, подбор по жесткости;Сильные бренды и МП, возвраты;да;RF-6
N059;Мягкая модульная мебель под заказ;FURNITURE;Диваны по размерам и тканям;B2C;50000-250000;раз в 7-10 лет;низкая;очень высокий;Прямая компетенция предпринимателя, под заказ, габарит;Сроки цеха, рекламации по ткани;да - идеально;-
N060;Кухни на заказ (агентская модель);FURNITURE;Посредничество между клиентом и цехом;B2C;120000-500000;разово;низкая;высокий;Чистая агентская модель - ноль закупки, очень высокий чек;Длинный цикл, замер, ответственность за цех;да - идеально;YF-3
N061;Автозапчасти под заказ по VIN;AUTO;Подбор и поставка деталей;B2C;3000-60000;регулярно;низкая;высокий;Подбор - главное преимущество, высокий повтор;МАРКИРОВКА с 2026 - проекты постановлений;да;RF-1
N062;Автохимия и расходники ТО;AUTO;Масла, фильтры, жидкости;B2C;2000-15000;2-4 раза в год;весна/осень;средний;Очень высокий повтор, сезонные триггеры;Низкий чек, МП и сети доминируют;да;RF-6
N063;Тюнинг и обвесы;AUTO;Внешний и технический тюнинг;B2C;10000-100000;разово;весна-лето;средний;Высокая маржа, эмоциональная покупка;Импульсный спрос - режется первым, подбор сложный;да;-
N064;Фаркопы, багажники, защита картера;AUTO;Допоборудование под модель;B2C;8000-40000;разово;весна-лето;высокий;Подбор под конкретный автомобиль - МП путает применимость;Установка, применимость, ошибки подбора;да;-
N065;Шины и диски;AUTO;Сезонная резина, литье;B2C;20000-100000;раз в 3-5 лет;октябрь/апрель;средний;Мощный сезонный триггер, габарит;Жесткая ценовая война, склад, сезонное окно;частично;RF-6, YF-2
N066;Автоэлектроника (регистраторы, сигнализации);AUTO;Установка и продажа;B2C;5000-40000;раз в 3-5 лет;низкая;низкий;Установка дает маржу;МП дешевле, гарантия, стандартный товар;да;RF-6
N067;Прицепы легковые;AUTO;Прицепы для авто;B2C;60000-250000;раз в 10 лет;весна-лето;высокий;Габарит - МП не работает, высокий чек, регистрация в ГИБДД;Хранение, ПТС, сезон;да - под заказ;-
N068;Оборудование для гаража (домкраты, стойки, верстаки);AUTO;Оснащение личного гаража;B2C;8000-60000;раз в 5-10 лет;низкая;средний;Габарит части позиций, подбор;Есть на МП, средний чек;да;-
N069;Товары для коммерческого транспорта;AUTO;Оснастка для газелей, фургонов;B2B;10000-100000;регулярно;низкая;высокий;B2B, подбор под модель, МП неудобен;Узкая применимость, установка;да;-
N070;Навесное оборудование для спецтехники;AUTO;Ковши, отвалы, щетки;B2B;60000-500000;раз в 3-7 лет;сезонно;высокий;Очень высокий чек, габарит, B2B;Узкий рынок, подбор по технике, вес;да - под заказ;-
N071;Садовая техника (мотоблоки, культиваторы);GARDEN_FARM;Механизация участка;B2C;25000-120000;раз в 7-10 лет;март-июнь;высокий;Габарит, сезонный триггер, консультация;Сезонное окно, гарантия, сервис;да;YF-2, RF-3
N072;Газонокосилки, триммеры и расходка;GARDEN_FARM;Уход за участком;B2C;10000-60000;раз в 5-7 лет;апрель-июль;средний;Расходка дает повтор, сезон;МП силен, гарантия, сезон;да;RF-6, YF-2
N073;Мотопомпы и системы полива;GARDEN_FARM;Полив и перекачка;B2C/B2B;8000-50000;раз в 5-10 лет;май-август;средний;Подбор по задаче, сезон;Узкое окно, есть на МП;да;YF-2
N074;Дровоколы, бензопилы, садовый бензоинструмент;GARDEN_FARM;Заготовка дров, уход;B2C;15000-80000;раз в 5-10 лет;август-ноябрь;средний;Сезонный триггер, габарит у дровоколов;Гарантия, сервис, бренды;да;RF-3
N075;Оборудование для пчеловодства;GARDEN_FARM;Ульи, медогонки, инвентарь;B2C/B2B;10000-80000;сезонно + расходка;февраль-май;средний;Узкая ниша со слабыми конкурентами, повтор через расходку;Малый объем рынка, сезон, экспертиза;да;YF-2
N076;Оборудование для птицеводства (инкубаторы, брудеры);GARDEN_FARM;Малые хозяйства и ЛПХ;B2C;8000-60000;раз в 3-5 лет;февраль-май;средний;Слабые конкуренты, вынужденный сезон;Сезонное окно, невысокий чек;да;YF-2
N077;Оборудование для КФХ (доильные аппараты, кормораздача);GARDEN_FARM;Малые фермы;B2B;40000-300000;раз в 5-10 лет;низкая;высокий;Высокий чек, слабое поле, консультация;Узкий рынок, география, сервис;да;-
N078;Клетки, вольеры, кормушки для животных;PETS;Содержание животных;B2C;5000-60000;раз в 3-7 лет;низкая;средний;Габарит вольеров, под заказ по размерам;Низкий чек в мелочи, МП силен;да;-
N079;Вольеры и будки для собак крупных пород;PETS;Изготовление под размер;B2C;20000-100000;разово;весна-осень;высокий;Габарит, под заказ, эмоциональная покупка;Сезон, доставка, монтаж;да - под заказ;YF-2
N080;Аквариумы и оборудование;PETS;Аквариумистика;B2C;10000-100000;раз в 5-10 лет;низкая;средний;Габарит, подбор комплекта, консультация;Хрупкость, доставка, узкий сегмент;частично;-
N081;Товары для содержания лошадей;PETS;Амуниция, денники, инвентарь;B2C/B2B;15000-150000;регулярно;низкая;средний;Очень слабое конкурентное поле, платежеспособный сегмент;Узкий рынок, экспертиза;да;-
N082;Ветеринарное оборудование и препараты;PETS;Оснащение клиник;B2B;20000-300000;регулярно;низкая;низкий;Высокий чек;Лицензирование препаратов, ответственность;нет;RF-4
N083;Лодки, катера, комплектующие;SPORT_HOBBY;Водный транспорт;B2C;50000-500000;раз в 7-10 лет;март-июль;высокий;Габарит, высокий чек, Авито - основной канал;Регистрация, сезон, хранение;да - под заказ;YF-2
N084;Лодочные моторы и запчасти;SPORT_HOBBY;Моторы, винты, расходка;B2C;40000-300000;раз в 7-10 лет;март-июль;высокий;Высокий чек, подбор, повтор через расходку;Гарантия, сезон, сервис;да;RF-3, YF-2
N085;Комплектующие для снегоходов и квадроциклов;SPORT_HOBBY;Запчасти и аксессуары;B2C;5000-60000;сезонно;октябрь-февраль;средний;Подбор по модели, слабое поле;Сезон, применимость;да;YF-2
N086;Тренажеры для дома и залов;SPORT_HOBBY;Силовые и кардио;B2C/B2B;20000-300000;раз в 7-10 лет;январь, сентябрь;высокий;Габарит - МП плохо работает, высокий чек, B2B-залы;Вес, подъем на этаж, сезонность спроса;да - под заказ;YF-3
N087;Оборудование для единоборств (татами, мешки, ринги);SPORT_HOBBY;Оснащение залов и секций;B2B;30000-300000;раз в 5-7 лет;август-сентябрь;высокий;B2B, габарит, слабое поле, под заказ;Узкий круг клиентов, сезон открытия секций;да - под заказ;-
N088;Лазерные станки и ЧПУ для мастерских;PRODUCTION;Оборудование для творческого бизнеса;B2B;80000-600000;раз в 5-7 лет;низкая;высокий;Высокий чек, растущий сегмент микропроизводств;Пусконаладка, обучение, сервис;частично;-
N089;Оборудование для сублимации и печати на текстиле;PRODUCTION;Термопрессы, принтеры, расходка;B2B;30000-250000;раз в 5 лет + расходка;осень;высокий;Расходка дает мощный повтор, слабое поле;Обучение клиента, сервис;да;-
N090;Оборудование и сырье для мыловарения, свечей, эпоксидки;PRODUCTION;Материалы для микропроизводств;B2C/B2B;5000-40000;ежемесячно;осень-зима;средний;Очень высокий повтор через сырье;Низкий чек, МП силен, склад ассортимента;частично;RF-6
N091;Звуковое и световое оборудование для мероприятий;SPORT_HOBBY;Прокат и продажа;B2B;40000-400000;раз в 5-7 лет;осень-зима;средний;Высокий чек, B2B, аренда дает повтор;Сложный подбор, сервис, конкуренция прокатов;частично;-
N092;Оборудование для фотостудий;SPORT_HOBBY;Свет, фоны, стойки;B2B/B2C;15000-150000;раз в 3-5 лет;низкая;средний;Комплект под студию, слабое поле;Узкий рынок, МП по мелочи;да;-
N093;Event-оборудование (шатры, мебель для мероприятий);SPORT_HOBBY;Оснащение выездных мероприятий;B2B;40000-300000;раз в 3-5 лет;весна-лето;средний;Габарит, B2B, аренда;Сезон, хранение, износ;да - под заказ;YF-2
N094;Торговые павильоны и киоски;TRADE_EQUIP;Готовые модульные объекты;B2B;150000-800000;разово;весна-осень;высокий;Очень высокий чек, чистый под заказ, МП невозможен;Длинный цикл, доставка, согласования;да - под заказ;-
N095;Вендинговые аппараты;TRADE_EQUIP;Кофейные и снековые автоматы;B2B;80000-400000;раз в 5-7 лет;низкая;средний;Высокий чек, б/у-оборот, консультация по окупаемости;Сервис, обещание доходности - юридический риск;частично;-
N096;Оборудование для детских площадок;CONSTRUCTION;Комплексы, качели, покрытия;B2B;60000-500000;раз в 7-10 лет;весна-лето;средний;Высокий чек, B2B и УК;Сертификация ГОСТ, монтаж, тендеры;частично;RF-2
N097;Складская техника (рохли, штабелеры, тележки);LOGISTICS_PACK;Внутрискладская логистика;B2B;25000-250000;раз в 5-7 лет;низкая;высокий;B2B, габарит, вынужденная замена, б/у-оборот;Сервис, вес;да;-
N098;Мини-погрузчики и навесное;LOGISTICS_PACK;Малая техника для стройки и склада;B2B;300000-1500000;раз в 7-10 лет;низкая;низкий;Очень высокий чек;Огромный чек, длинный цикл, сервис, капитал;нет;-
N099;Упаковочное оборудование (запайщики, стрейч-машины);LOGISTICS_PACK;Оснащение фасовки;B2B;20000-200000;раз в 5-7 лет;низкая;высокий;B2B, расходка дает повтор, слабое поле;Сервис, узкий подбор;да;-
N100;Упаковка и расходники для бизнеса (гофра, стрейч, скотч);LOGISTICS_PACK;Расходка для отгрузок;B2B;3000-40000;ежемесячно;низкая;средний;Максимальный повтор, растет вместе с e-commerce;Огромный объем при низкой цене - нужен склад, низкая маржа;частично;RF-10
