id;kategoriya;tovar;pokupatel;cena_rynka_orientir;perekup;no_install;capital;marzha;speed;logistics;on_order;visual;repeat;RAW;PRODUCT_FIT;status;flagi;prichina;zametka
Z02;PETS;Косметика профессиональная для груминга канистрами;Груминг-салон;1500-9000;10;10;9;4;8;8;8;6;10;8.25;8.25;ПРОШЁЛ;;;
K10;CRAFT;Оборудование для свечного и мыловарного производства;Микробизнес, хоббист;2000-20000;10;9;9;5;8;8;8;9;7;8.25;8.25;ПРОШЁЛ;;;
I01;TOOLS;Мебельные кондукторы и шаблоны для присадки;Цех, частник-мебельщик;1500-8000;10;9;9;6;8;9;8;7;3;8.2;8.2;ПРОШЁЛ;;;Профильный инструмент, на МП представлен слабо
I12;TOOLS;Клепальники и оснастка для заклёпок;Мастерская, производство;2000-12000;10;9;9;6;7;9;8;6;6;8.2;8.2;ПРОШЁЛ;;;
C14;CONSUM_PRO;Фильтры для промышленных пылесосов и стружкоотсосов;Цех;1000-7000;10;10;9;4;8;9;8;3;10;8.2;8.2;ПРОШЁЛ;;;
B13;SMALLBIZ;Тату-оборудование и расходка;Тату-мастер, студия;2000-25000;10;10;8;4;7;10;8;7;9;8.2;8.2;ПРОШЁЛ;;;КОРРЕКТИРОВКА по факту: найдено 9+ профильных российских оптовиков с прямыми поставками от производителей, один позиционируется как крупнейший поставщик в РФ. Поле плотное, войти без истории нечем. Маржа 6 понижена до 4
Z06;PETS;Снаряжение для кинологов: шлейки, поводки, дрессировка;Кинолог, охотник, служебное;1500-9000;10;10;9;4;8;9;8;8;5;8.2;8.2;ПРОШЁЛ;;;
I11;TOOLS;Съёмники и специнструмент для авторемонта;Автосервис;2000-15000;10;10;8;6;7;9;8;6;5;8.15;8.15;ПРОШЁЛ;;;
B01;SMALLBIZ;Принтеры этикеток настольные;Склад, розница, ПВЗ, производство;6000-30000;10;8;8;6;8;10;8;6;7;8.15;8.15;ПРОШЁЛ;;;Драйвер - обязательная маркировка. Расходка даёт повтор
B04;SMALLBIZ;Ценникодержатели и системы ценников;Розница;300-3000;10;10;10;2;9;9;8;6;7;8.15;8.15;ПРОШЁЛ;;;
W04;WAREHOUSE;Колёса и ролики промышленные;Склад, производство, сервис;300-3000;10;9;10;3;9;9;8;4;9;8.15;8.15;ПРОШЁЛ;;;
Z11;PETS;Стрижка и копытная обработка КРС: инструмент;КФХ, ветеринар;3000-20000;10;10;8;6;7;9;8;5;6;8.15;8.15;ПРОШЁЛ;;;
O08;STORAGE;Кофры и кейсы для оборудования;Фотограф, музыкант, сервис;2000-15000;10;10;9;5;8;8;8;8;3;8.15;8.15;ПРОШЁЛ;;;
Q08;PROBLEM;Приборы контроля микроклимата для производств и складов;Склад, производство, аптека;2000-20000;10;9;9;6;7;10;8;5;4;8.15;8.15;ПРОШЁЛ;;;Требование хранения в аптеках и на складах
Q09;PROBLEM;Ортопедические и разгрузочные приспособления для рабочих;Производство, склад;1000-8000;10;10;9;4;8;9;8;6;6;8.15;8.15;ПРОШЁЛ;;;
X01;REPLACEMENT;Запчасти для офисных кресел в сборе (комплекты ремонта);Ремонтник, офис, частник;1200-5000;10;8;10;4;9;9;8;6;7;8.15;8.15;ПРОШЁЛ;;;Вынужденный спрос: кресло сломалось, замена дешевле покупки
X02;REPLACEMENT;Запчасти для рохлей и штабелёров: ролики, помпы, вилы;Склад, сервис;390-9000;10;9;10;3;9;9;8;4;9;8.15;8.15;ПРОШЁЛ;;;КОРРЕКТИРОВКА по факту: запчасти от 390 руб, более 500 позиций, минимум 5 профильных поставщиков со складом в Москве. Маржа 5 понижена до 3
X07;REPLACEMENT;Ремни, подшипники, приводные элементы для станков;Цех, сервис;500-6000;10;8;10;4;8;10;8;3;10;8.15;8.15;ПРОШЁЛ;;;
F01;FITTINGS;Газлифты для офисных кресел (100-140 мм, разные классы);Ремонтник кресел, офис-менеджер, частник;600-1800;10;7;10;4;9;10;8;6;7;8.1;8.1;ПРОШЁЛ;;;Ломается предсказуемо, замена без мастера, компактный
I08;TOOLS;Оснастка для ЧПУ: цанги, патроны, фрезы;ЧПУ-оператор, цех;250-3700;10;9;8;5;7;10;8;5;9;8.1;8.1;ПРОШЁЛ;;;КОРРЕКТИРОВКА по факту: цанга ER16 - 404 руб, ER11 - 620-1740 руб, набор 17 шт - 3710 руб. Чек ниже моей оценки, маржа 7 понижена до 5
V09;AUTO;Автохимия профессиональная канистрами;Автомойка, детейлинг;1500-9000;10;10;9;4;8;7;8;5;10;8.1;8.1;ПРОШЁЛ;;;B2B-объём отличается от розницы МП
B11;SMALLBIZ;Оборудование для маникюрных кабинетов: вытяжки, лампы;Мастер маникюра, салон;3000-20000;10;9;8;6;7;9;8;8;5;8.1;8.1;ПРОШЁЛ;;;
P01;PACKAGING;Крафт-пакеты и коробки с печатью логотипа;Интернет-магазин, кофейня, кондитер;1500-12000;10;10;9;4;7;7;7;8;10;8.1;8.1;ПРОШЁЛ;;;Печать даёт наценку и привязывает клиента к поставщику
X10;REPLACEMENT;Аккумуляторы и зарядные для складской и садовой техники;Склад, ЛПХ, сервис;2000-20000;10;10;8;5;8;8;8;5;8;8.1;8.1;ПРОШЁЛ;;;
A04;FURN_ACCESS;Подлокотники и столики-приставки для дивана;Частник;1500-6000;10;9;9;5;8;8;8;9;3;8.05;8.05;ПРОШЁЛ;;;
B07;SMALLBIZ;Профессиональные фены и машинки для груминга;Груминг-салон;5200-60650;10;10;8;5;7;9;8;7;5;8.05;8.05;ПРОШЁЛ;;;КОРРЕКТИРОВКА по факту: Codos CP-3880 - 5200 руб, CP-6800 - 6400 руб. У Andis есть официальный магазин бренда andisrussia.ru, то есть конкуренция идёт с официальным каналом. Маржа 7 понижена до 5
R09;B2B_CONSUM;Скотч и упаковочные ленты с логотипом;Интернет-магазин, склад;1500-9000;10;10;9;4;7;8;7;5;10;8.05;8.05;ПРОШЁЛ;;;Печать логотипа даёт наценку и привязку клиента
I06;TOOLS;Пневмоинструмент для мебельного производства (шпильковые пистолеты);Цех;4000-18000;10;8;8;7;7;9;8;7;4;8.0;8.0;ПРОШЁЛ;;;
G03;GARAGE;Системы хранения инструмента: перфопанели, держатели;Частник, мастерская;1500-9000;10;8;9;5;8;8;8;9;5;8.0;8.0;ПРОШЁЛ;;;
V10;AUTO;Инструмент и расходка для шиномонтажа;Шиномонтаж;2000-20000;10;9;8;6;7;8;8;5;8;8.0;8.0;ПРОШЁЛ;;;
R03;B2B_CONSUM;Химия для клининга профессиональная канистрами;Клининг, УК, ТСЖ;1500-9000;10;10;9;4;8;7;8;3;10;8.0;8.0;ПРОШЁЛ;;;B2B-объём, МП обслуживает розницу
P06;PACKAGING;Контейнеры пищевые для доставки с логотипом;Кафе, доставка, кондитер;2000-12000;10;10;9;4;7;6;7;8;10;8.0;8.0;ПРОШЁЛ;;;
A08;FURN_ACCESS;Чехлы на стулья для кафе и банкетов, партии;Кафе, банкетный зал, прокат;400-1500;10;10;8;4;7;9;7;8;6;7.95;7.95;ПРОШЁЛ;;;B2B-партия отличается от розницы МП
H04;HOME;Коврики придверные грязезащитные, партии;Офис, магазин, ТСЖ;800-6000;10;10;9;4;8;7;7;7;6;7.95;7.95;ПРОШЁЛ;;;B2B-партия отличается от розничного МП
B06;SMALLBIZ;Витрины настольные и подставки под товар;Розница, ярмарка;1000-8000;10;9;9;5;8;7;8;9;3;7.95;7.95;ПРОШЁЛ;;;
P05;PACKAGING;Термоусадочные пакеты и рукава пищевые;Пищевое микропроизводство;1000-7000;10;10;9;3;8;8;8;3;10;7.95;7.95;ПРОШЁЛ;;;
X06;REPLACEMENT;Тэны и термостаты для промышленного оборудования;Сервис, общепит, производство;800-7000;10;7;10;4;8;10;8;3;9;7.95;7.95;ПРОШЁЛ;;;
C07;CONSUM_PRO;Порошковые краски для полимерной окраски;Покрасочный участок;3000-15000;10;10;8;5;7;7;7;4;10;7.9;7.9;ПРОШЁЛ;;;
C08;CONSUM_PRO;Фильтроэлементы для промышленной аспирации;Цех деревообработки, металлообработки;2000-15000;10;9;8;6;7;7;8;3;10;7.9;7.9;ПРОШЁЛ;;;Меняются по регламенту, вынужденный повтор
C09;CONSUM_PRO;Клей-расплав для кромкооблицовки в гранулах;Мебельный цех;2000-12000;10;10;8;4;8;8;7;3;10;7.9;7.9;ПРОШЁЛ;;;
R04;B2B_CONSUM;Салфетки и материалы для клининга оптом;Клининг, отель;1000-7000;10;10;9;3;9;7;7;3;10;7.9;7.9;ПРОШЁЛ;;;
S10;SPORT;Судейское и разметочное оборудование для залов;Секция, школа;1500-12000;10;9;9;5;7;8;8;6;4;7.85;7.85;ПРОШЁЛ;;;
Y08;GIFT_VISUAL;Ежедневники и корпоративная канцелярия партиями;Компания;500-4000;10;10;9;3;7;8;7;7;7;7.85;7.85;ПРОШЁЛ;;;
B12;SMALLBIZ;Стерилизаторы и сухожары для салонов;Салон красоты, тату;6000-30000;10;9;7;7;7;8;8;6;3;7.8;7.8;ПРОШЁЛ;;;
K02;CRAFT;Плоттеры режущие настольные;Мастерская, рекламщик, хобби;15000-60000;10;8;6;7;7;9;8;8;5;7.8;7.8;ПРОШЁЛ;;;
Y02;GIFT_VISUAL;Корпоративные подарки с нанесением логотипа;Компания, отдел закупок;500-6000;9;10;8;5;6;8;7;9;7;7.8;7.8;ПРОШЁЛ;;;Нанесение даёт наценку, но это уже работа
F05;FITTINGS;Направляющие скрытого монтажа с доводчиком, комплект;Мебельный цех;700-2500;10;7;9;4;8;9;7;6;8;7.75;7.75;ПРОШЁЛ;;;
I04;TOOLS;Струбцины и ваймы для склейки, комплекты;Столяр, цех;1500-12000;10;9;8;6;7;7;7;7;4;7.75;7.75;ПРОШЁЛ;;;
B03;SMALLBIZ;Денежные ящики и аксессуары кассового узла;Розница, кафе;2000-9000;10;9;9;4;8;8;8;6;3;7.75;7.75;ПРОШЁЛ;;;
R11;B2B_CONSUM;Фильтры для промышленной вентиляции;Цех, ТЦ, ресторан;1500-12000;10;8;9;5;7;7;8;3;10;7.75;7.75;ПРОШЁЛ;;;
Z10;PETS;Инкубаторы и оборудование для птицеводства;ЛПХ, малое хозяйство;4000-25000;10;9;8;6;7;7;8;7;3;7.75;7.75;ПРОШЁЛ;;;
F12;FITTINGS;Кромка ПВХ и меламин в бухтах;Цех;800-4000;10;9;9;3;8;8;7;3;9;7.7;7.7;ПРОШЁЛ;;;Расходник, высокий повтор
G11;GARAGE;Верстачные тиски и струбцинные системы;Мастерская;3000-18000;10;9;8;6;7;7;8;7;2;7.7;7.7;ПРОШЁЛ;;;
P10;PACKAGING;Мешки полипропиленовые и биг-бэги;Фермер, стройка, переработка;1000-9000;10;10;9;3;8;6;7;3;10;7.7;7.7;ПРОШЁЛ;;;
X09;REPLACEMENT;Апгрейд-комплекты для ЧПУ: шпиндели, драйверы;ЧПУ-мастерская;3000-30000;10;6;8;7;7;9;8;6;5;7.7;7.7;ПРОШЁЛ;;;
X12;REPLACEMENT;Уплотнители и запчасти для холодильного оборудования;Магазин, общепит;1000-9000;10;7;9;4;8;9;8;3;9;7.7;7.7;ПРОШЁЛ;;;
F03;FITTINGS;Механизмы качания для кресел (топ-ган, мультиблок);Ремонтник кресел;900-3500;10;6;10;4;8;9;8;5;6;7.65;7.65;ПРОШЁЛ;;;
A10;FURN_ACCESS;Подсветка мебельная LED с датчиком, комплекты;Частник, цех;800-4000;10;6;9;4;8;9;8;9;5;7.65;7.65;ПРОШЁЛ;;;
G02;GARAGE;Тележки инструментальные с ящиками;Автосервис, мастерская;8000-45000;10;9;7;8;6;5;8;9;2;7.65;7.65;ПРОШЁЛ;;;Габарит, но высокий чек и понятный визуал
G05;GARAGE;Подкатные домкраты и стойки;Автосервис, частник;4000-25000;10;10;8;6;7;5;8;7;2;7.65;7.65;ПРОШЁЛ;;;
R08;B2B_CONSUM;Ветошь и обтирочные материалы в кипах;Производство, автосервис;1000-6000;10;10;9;3;8;6;7;2;10;7.65;7.65;ПРОШЁЛ;;;
O06;STORAGE;Архивные короба и системы хранения документов;Офис, бухгалтерия, архив;800-6000;10;10;9;3;8;6;7;4;8;7.65;7.65;ПРОШЁЛ;;;
G12;GARAGE;Маслосборники и оснастка для замены масла;Автосервис;3000-15000;10;9;8;6;7;6;8;6;3;7.6;7.6;ПРОШЁЛ;;;
F09;FITTINGS;Соединительная фурнитура для модульных диванов;Фабрика, сборщик;200-900;10;7;10;2;8;10;7;4;7;7.55;7.55;ПРОШЁЛ;;;
H02;HOME;Гладильные системы и доски профессиональные;Частник, ателье, отель;3000-15000;10;9;8;5;7;6;8;7;3;7.5;7.5;ПРОШЁЛ;;;
B05;SMALLBIZ;Торговые манекены и формы;Магазин одежды;1500-9000;10;9;8;5;7;5;7;10;2;7.45;7.45;ПРОШЁЛ;;;Габарит, но сильный визуал и МП не обслуживает
O01;STORAGE;Системы хранения в гардероб: штанги, корзины, модули;Частник, цех;1500-12000;10;6;9;5;7;7;8;9;4;7.45;7.45;ПРОШЁЛ;;;
F11;FITTINGS;Сушилки и системы хранения в шкаф (лифты, карго);Цех, частник;1500-8000;10;5;9;6;7;7;8;8;4;7.4;7.4;ПРОШЁЛ;;;
F18;FITTINGS;Фурнитура для стеклянных фасадов и витрин;Цех, торговое оборудование;500-3000;10;6;9;4;7;9;7;6;6;7.4;7.4;ПРОШЁЛ;;;
H11;HOME;Термостатические головки и радиаторные комплекты;Частник, монтажник;800-4000;10;5;10;3;8;10;8;5;5;7.4;7.4;ПРОШЁЛ;;;
V11;AUTO;Светодиодные балки и доп. свет для спецтехники;Владелец спецтехники, фермер;3000-18000;10;5;8;6;7;9;8;8;3;7.4;7.4;ПРОШЁЛ;;;
S09;SPORT;Инвентарь для настольного тенниса и бильярда;Клуб, кафе, частник;2000-20000;10;8;8;5;7;6;7;8;4;7.4;7.4;ПРОШЁЛ;;;
H08;HOME;Вытяжные и приточные клапаны, диффузоры;Частник, монтажник;400-2500;10;5;10;3;8;10;8;4;5;7.35;7.35;ПРОШЁЛ;;;
W07;WAREHOUSE;Тележки платформенные и грузовые;Склад, магазин, ЖКХ;3000-18000;10;9;8;5;7;5;7;7;3;7.35;7.35;ПРОШЁЛ;;;
Z03;PETS;Клетки и переноски для питомников;Заводчик, приют, ветклиника;2000-15000;10;9;8;5;7;5;7;7;3;7.35;7.35;ПРОШЁЛ;;;
W11;WAREHOUSE;Зеркала обзорные и системы безопасности склада;Склад, парковка;1500-9000;10;6;9;4;8;8;8;6;3;7.3;7.3;ПРОШЁЛ;;;
F10;FITTINGS;Профиль-ручки алюминиевые для фасадов, погонаж;Цех, частник;400-1500;10;7;9;3;8;6;7;7;6;7.25;7.25;ПРОШЁЛ;;;Длинномер осложняет доставку
A06;FURN_ACCESS;Держатели и кронштейны для ТВ на мебель;Частник;1000-5000;10;5;9;4;8;9;8;6;3;7.25;7.25;ПРОШЁЛ;;;
G08;GARAGE;Вытяжные катушки и шланги для гаража;Автосервис;3000-18000;10;6;8;6;7;7;8;6;3;7.25;7.25;ПРОШЁЛ;;;
F06;FITTINGS;Подъёмные механизмы для кроватей (газовые, комплект);Мебельный цех, частник;1500-5000;10;5;9;5;7;7;8;6;5;7.2;7.2;ПРОШЁЛ;;;
K01;CRAFT;Термопрессы плоские 38x38 для печати;Микробизнес, самозанятый;36000-71000;10;8;5;7;7;6;7;8;3;7.2;7.2;ПРОШЁЛ;;;Проверен в этапе 2: маржа тонкая, наценка дистрибьютора мала
O07;STORAGE;Системы хранения для гаража: подвесные, потолочные;Частник, гараж;2000-15000;10;6;8;6;7;6;7;8;3;7.2;7.2;ПРОШЁЛ;;;
I05;TOOLS;Заточное оборудование для инструмента;Мастерская;8000-40000;10;7;6;7;6;7;7;6;4;7.15;7.15;ПРОШЁЛ;;;
G04;GARAGE;Гаражные стеллажи металлические разборные;Частник, гараж, склад;3000-15000;10;7;8;5;7;6;7;7;3;7.15;7.15;ПРОШЁЛ;;;
B08;SMALLBIZ;Груминг-столы и ванны;Груминг-салон;12000-60000;10;8;6;8;6;4;7;8;2;7.15;7.15;ПРОШЁЛ;;;Габарит
W01;WAREHOUSE;Гидравлические тележки (рохли) 2-2,5 т;Склад, ПВЗ, оптовая база;12000-20000;10;10;7;4;8;5;6;6;2;7.15;7.15;ПРОШЁЛ;;;Проверена в этапе 2: маржа 2 340 руб, нужен остаток под срочность
S07;SPORT;Оборудование для скалолазания: зацепы, панели;Скалодром, секция;3000-25000;10;5;8;6;6;7;7;9;4;7.15;7.15;ПРОШЁЛ;;;
A03;FURN_ACCESS;Ортопедические основания под матрас разборные;Частник, хостел;3000-12000;10;6;8;6;7;5;8;6;3;7.05;7.05;ПРОШЁЛ;;;
W05;WAREHOUSE;Стеллажи полочные разборные для склада и ПВЗ;Склад, ПВЗ;3000-16000;10;7;8;5;7;5;7;6;3;7.0;7.0;ПРОШЁЛ;;;
S02;SPORT;Боксёрские мешки и груши;Клуб, частник;4000-25000;10;6;8;6;7;4;7;9;2;7.0;7.0;ПРОШЁЛ;;;
G01;GARAGE;Верстаки разборные для гаража и мастерской;Частник, мастерская;8000-35000;10;6;7;7;6;5;7;8;2;6.95;6.95;ПРОШЁЛ;;;
W10;WAREHOUSE;Противоскользящие и защитные покрытия для склада;Склад;2000-15000;10;6;8;5;7;6;7;5;4;6.95;6.95;ПРОШЁЛ;;;
Q07;PROBLEM;Шумоизоляция для квартир и авто, материалы;Частник, автосервис;1500-12000;10;5;9;5;7;6;8;5;3;6.95;6.95;ПРОШЁЛ;;;
A09;FURN_ACCESS;Мебельные щиты и полки готовых размеров;Частник, цех;800-4000;9;7;9;4;7;5;7;6;5;6.9;6.9;ПРОШЁЛ;;;
W02;WAREHOUSE;Штабелёры ручные 1-1,5 т;Склад;39000-103000;10;9;4;8;6;4;7;6;2;6.9;6.9;ПРОШЁЛ;;;Канал не Авито по этапу 2
O04;STORAGE;Полки и стеллажи для кладовой и балкона;Частник;2000-12000;10;6;8;5;7;5;7;7;3;6.9;6.9;ПРОШЁЛ;;;
F08;FITTINGS;Механизмы трансформации диванов (еврокнижка, клик-кляк);Фабрика мягкой мебели;1500-6000;10;5;8;5;6;7;5;5;6;6.8;6.8;ПРОШЁЛ;;;Проверялась в этапе 2, закупочных цен не найдено
B14;SMALLBIZ;Оборудование для ПВЗ: стойки выдачи, примерочные;Открывающийся ПВЗ;8000-40000;10;6;7;7;6;4;7;7;2;6.8;6.8;ПРОШЁЛ;;;Канал провален в этапе 2, товар чистый
S06;SPORT;Спортивные маты и покрытия для детских секций;Секция, школа, ДЮСШ;6000-40000;10;7;6;7;6;3;7;8;2;6.75;6.75;ПРОШЁЛ;;;
V07;AUTO;Оборудование для коммерческого транспорта: полки в фургон;Курьер, сервисная служба, ИП;8000-40000;9;5;7;8;6;4;7;7;2;6.6;6.6;ПРОШЁЛ;;;B2B-сегмент, МП не обслуживает
F13;FITTINGS;Сборные каркасы для мягкой мебели;Фабрика;3000-12000;10;5;7;6;6;5;6;5;4;6.55;6.55;ПРОШЁЛ;;;
K04;CRAFT;Наборы для эпоксидной смолы и молды;Хоббист, мастер;1000-8000;10;10;10;4;9;9;8;10;8;8.7;8.7;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
K08;CRAFT;Фурнитура для рукоделия и бижутерии оптом;Мастер, хоббист;500-5000;10;10;10;3;9;10;8;9;9;8.65;8.65;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
I10;TOOLS;Наборы бит и головок промышленного класса;Мастерская, сервис;1500-9000;10;10;9;4;9;10;8;6;8;8.45;8.45;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
K12;CRAFT;Профессиональные краски и материалы для художников;Художник, студия;1000-9000;10;10;9;4;8;9;8;9;9;8.45;8.45;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
C04;CONSUM_PRO;ДТФ-плёнка и порошок;Печатное производство;563-15000;10;10;9;5;8;9;8;4;10;8.4;8.4;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;КОРРЕКТИРОВКА по факту: Ozon держит отдельную категорию DTF-плёнка. Добавлен RF-MP. При этом повтор подтверждён: месяц работы принтера - чернила от 10 тыс, плёнка от 15 тыс, клей от 8 тыс
B10;SMALLBIZ;Кофейное оборудование: темперы, питчеры, аксессуары;Кофейня;1000-8000;10;10;9;4;8;10;8;9;6;8.4;8.4;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
R07;B2B_CONSUM;Картриджи и тонеры для офисной техники;Офис, копицентр;800-6000;10;10;10;3;9;10;8;3;10;8.4;8.4;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
Z08;PETS;Ветеринарные расходники: шприцы, катетеры, перевязка;Ветклиника, заводчик;800-6000;10;10;10;3;9;10;8;3;10;8.4;8.4;ОТСЕЯН;RF-LICENSE;лицензирование, обязательная маркировка или личная ответственность;
S05;SPORT;Резинки, петли, оборудование для функционального тренинга;Частник, тренер;800-6000;10;10;10;3;9;10;8;8;5;8.4;8.4;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
U05;RAW_HYPOTHESIS;Брендовые аксессуары и реплики;Частник;1000-15000;10;10;8;6;8;10;7;10;3;8.4;8.4;ОТСЕЯН;RF-LICENSE,RF-ILLIQUID;"лицензирование, обязательная маркировка или личная ответственность; высокая вероятность неликвида";Реплики - нарушение прав на товарный знак, риск блокировки и ответственности
Y06;GIFT_VISUAL;Наборы для выращивания и флорариумы;Частник, подарок;500-4000;10;10;10;3;9;9;8;10;4;8.35;8.35;ОТСЕЯН;RF-MP,RF-ILLIQUID;"массово на маркетплейсах по цене, ниже которой перепродавать нечего; высокая вероятность неликвида";Живой товар, срок годности
A12;FURN_ACCESS;Тканевые корзины и кофры под системы хранения;Частник;500-2500;10;10;10;3;9;9;8;8;5;8.3;8.3;ОТСЕЯН;RF-MP;массово на маркетплейсах по цене, ниже которой перепродавать нечего;
W08;WAREHOUSE;Стропы, ремни стяжные, такелаж;Склад, перевозчик;500-5000;10;10;10;3;9;9;8;5;8;8.3;8.3;ОТСЕЯН;RF-LICENSE;лицензирование, обязательная маркировка или личная ответственность;Стропы - ответственность за нагрузку
